,Comentarios,Idioma,TweetPre
9205,correr cinta norteña bien triste hablar del paisaje cuando roban celular mientras corres mejor parte vainasdelnorte,es,correr cinta nortena bien triste hablar paisaje roban celular mientras corres mejor parte vainasdelnorte
9209,verse sin escapatoria termino por resignarse agachando cabeza como cachorro triste tras tragar saliva sin establecer contacto visual con chica saco movil busco una imagen laura que mostrarle era una del otro dia mientras compraba helado,es,verse escapatoria termino resignarse agachando cabeza cachorro triste tras tragar saliva establecer contacto visual chica saco movil busco imagen laura mostrarle mientras compraba helado
9211,esta hace llorar mucho,es,hace llorar
9213,hoy dia triste solo quiero comer,es,triste solo quiero comer
9214,estoy triste voy jajaja dormir que sino lloro mas buenas noches familia,es,triste jajaja dormir sino lloro buenas noches familia
9217,esto triste pero hacia falta desde hacia mucho tiempo pero aun asi sigo teniendo muchisimo miedo estoy nerviosa eso jajaja pasar con cualquier tonteria,es,triste hacia falta hacia tiempo sigo muchisimo miedo nerviosa jajaja pasar cualquier tonteria
9218,regalaron gomitas para calmar ansiedad mientras viajo las comi antes viajar asi estamos,es,regalaron gomitas calmar ansiedad mientras viajo comi viajar
9219,siempre que estoy por hacer directo negativo depresivo aparece final hago,es,siempre hacer directo negativo depresivo aparece final hago
9222,que paso senor,es,paso senor
9223,digo jajaja anthony que siento triste todo quiere resolver con alcohol quiero amigo,es,digo jajaja anthony siento triste quiere resolver alcohol quiero amigo
9227,mejor que puedes hacer cuando estas triste aprender algo,es,mejor puedes hacer triste aprender
9228,mansplaining otro dia mas llores tanto jajaja llorar jajaja llorera hijo mio,es,mansplaining lloreis jajaja llorar jajaja lloreria hijo
9230,pues ahi poco triste por alguien,es,pues triste alguien
9232,renunciaacuna triste una ministra educación exprese esta forma estos personajes nefastos solo los veras aguantado caba con barata jajaja cabeza loco esta casta sea fruto del voto declarado quien orinado sistematicamente estos tipos jajaja,es,renunciaacuna triste ministra educacion exprese forma personajes nefastos solo veras aguantadero caba larrata jajaja cabeza loco casta fruto voto desclasado orinado sistematicamente tipos jajaja
9233,estoy cansada tanta pelotudez todo coacción,es,cansada tanta pelotudez coaccion
9237,que porque llevo toda semana nervioso,es,llevo toda semana nervioso
9239,clonazepam curo depresion sentia tan anos,es,clonazepam curo depresion sentia ano
9240,por mas que duermo sigo sintiendo cansado,es,duermo sigo cansado
9242,gente ansiosa equilibrio perfecto entre gracioso conmovedor,es,gente ansiosa equilibrio perfecto gracioso conmovedor
9243,pasa como jajaja duele ver estas cifras con una por favor tienen riesgo bajo moderado enfermar grave porcentaje tendra secuelas jajaja mediano largo plazo con omicron hay mucho esto que aun sabemos que triste,es,pasa jajaja duele cifras favor riesgo bajo moderado enfermar grave porcentaje tendra secuelas jajaja mediano largo plazo omicron sabemos triste
9248,necesito ver partido river entro depresion,es,necesito partido river entro depresion
9249,siento temor jajaja desconocido sobre todo cuando percibo que romperia estabilidad emocional emigrar por ejemplo tener donde llegar sin posibilidades ciertas trabajo haria agrada mucho seguridad los pasos hacia vacio terror,es,siento temor jajaja desconocido percibo romperia estabilidad emocional emigrar ejemplo tener llegar posibilidades ciertas trabajo haria agrada seguridad pasos hacia vacio terror
9250,llamar jajaja amiga triste que acabeis riendo sin parar enserio amo tanto,es,llamar jajaja amiga triste acabeis riendo parar enserio
9251,puedo estar tan triste pm,es,puedo triste
9252,tengo las ojeras contra suelo cansada como nunca convicto afloja proyecto dia jajaja dia nomas amiga,es,ojeras suelo cansada nunca covicho afloja proyecto jajaja noma amiga
9254,supongo que nos hace felices saber que hay personas jajaja las que importamos bonito disculpas voy jajaja dormir estoy cansado manana madrugo buenas noches descansa,es,supongo hace felices saber persona jajaja importamos bonito disculpas jajaja dormir cansado manana madrugo buenas noches descansa
9255,estana cocinando largue jajaja llorar que odio tengo por dios,es,estana cocinando largue jajaja llorar odio dios
9256,esta cara mujer que sabe cuanto fue que comio que vacio jajaja como dicen por ahi mejor vestirla que darle comida jajaja voy tiene por que dar garrote jajaja,es,cara mujer sabe cuanto comio vacio jajaja dicen mejor vestirla darle comida jajaja garrote jajaja
9257,mira vas jajaja llorar tanto jajaja hombre hermana tan poca dignidad tenes,es,mira jajaja llorar jajaja hombre hermana poca dignidad tenes
9259,triste pero por eso cuiden sus acciones palabras crien cuervos que les sacaran los ojos,es,triste cuiden acciones palabras crien cuervos sacaran ojos
9260,hoy tengo gran sesion con psicologo amp voy con hartas ganas llorar pero jajaja salir llanto alla,es,gran sesion psicologo hartas ganas llorar jajaja salir llanto alla
9261,ansiedad que manejo,es,ansiedad manejo
9263,despues anos viendo esta serie voy jajaja sentirme vacia cuando termine,es,despues ano viendo serie jajaja sentirme vacia termine
9265,gift que pueden escuchar escapo depresion por sink,es,gifs pueden escuchar escapo depresion
9272,duermo desde fastidio estar triste todo tiempo,es,duermo fastidio triste tiempo
9275,lagrimas insomnio ese fue resultado aquel amor,es,lagrimas insomnio resultado aquel amor
9279,zeke pica mas rapido hacia los lios que vacio,es,keke pica rapido hacia lios vacio
9281,estoy agotada fisica mental emocionalmente pasa tren por encima hace favor,es,agotada fisica mental emocionalmente pasa tren encima hace favor
9283,ayer noche gobierno muy preocupado por tuit seguidores mientras que desde hace dias hay derrame petroleo mar peruano siendo peor desastre contaminación los ultimos anos,es,ayer noche gobierno preocupado tuit seguidores mientras hace dia derrame petroleo peruano siendo peor desastre contaminacion ultimos ano
9285,creo que buscan aceptación llenar vacios final del dia algo super triste,es,creo buscan aceptacion llenar vacios final super triste
9286,honestamente estoy punto donde brida tinto puso jajaja llorar,es,honestamente punto bridal tiktok puso jajaja llorar
9295,puedo con carita ari estaba toda nerviosa,es,puedo carita toda nerviosa
9296,cada vez que lucas manda una foto ipa largo jajaja llorar porque extrano mucho,es,cada lucas manda foto largo jajaja llorar extrano
9297,quiero llorar permiso,es,quiero llorar permiso
9298,siempre que siento ansiosa escucho por que salvan vida ultimamente unico que escuchamos trabajo,es,siempre siento ansiosa escucho salvan vida ultimamente unico escuchamos trabajo
9299,picha pero quitaste rato antes del partido haciendote apuntado dias antes jodiendo equipo entero eso llorar eso apuntarse lesionado borrarse dia despues entiendo mas cuando dias despues sigue doliendo lloron,es,picha quitaste rato partido habiendote apuntado dia jodiendo equipo entero llorar apuntarse lesionado borrarse despues entiendo dia despues sigue doliendo lloron
9300,llega short hace ano llegaba casi pongo jajaja llorar porq siquiera cerraba,es,llega short hace llegaba casi pongo jajaja llorar porq siquiera cerraba
9301,hace tiempo hablo publico hoy hice mr estaba nervioso,es,hace tiempo hablo publico hice nervioso
9305,ponen muy nervioso las unas carlos secretada,es,ponen nervioso unas carlos secretgala
9307,aki puede apreciar como ximena cayo depresion desde noviembre,es,puede apresiar ximena cayo depresion xesde noviembre
9310,estoy triste hablen,es,triste hablen
9311,jajaja veces siento ansiedad inseguridad,es,jajaja veces siento ansiedad inseguridad
9312,fico triste fazer about bonito dos dejalo,es,fico triste fazer layout bonito deixalo
9313,holi quiero llorar despues morirme,es,holi quiero llorar despues morirme
9314,exito llorar por grammy que merecias jajaja,es,exito llorar grammy merecias jajaja
9315,como alvaro iguale puntos jajaja hector ser muy triste secretada,es,alvaro iguale puntos jajaja hector triste secretgala
9316,triste has aunque seguro tenga hipotecar casa viene taylor,es,triste hnas aunque seguro hipotecar casa viene taylor
9319,pop ramon bah triste que aconteciendo,es,ramon triste acontecendo
9320,siento tan triste hoy dios ayudame,es,siento triste dios ayudame
9324,estan poniendo nerviosa jajaja gus que poquito tacto tienen con las aves secretada,es,estan poniendo nerviosa jajaja poquito tacto aves secretgala
9325,ponerme triste por pensar cosas que han pasado sabe pasaran passion,es,ponerme triste pensar cosas pasado sabe pasaran passion
9327,sin llorar oigo con,es,llorar oego
9331,tercer dia regreso jajaja clases quiero llorar del estres que padre vida universitaria,es,tercer regreso jajaja clases quiero llorar estres padre vida universitaria
9332,asi exactamente como acabo con ansiedad una otra vez por creer que puedo,es,exactamente acabo ansiedad creer puedo
9337,oww gun preocupado por sueno amado amo,es,owww preocupado sueno amado
9338,dormir todo dia esta volviendo algo triste,es,dormir volviendo triste
9340,pense jamas que esto iba jajaja pasar que triste loco,es,pense jamas jajaja pasar triste loco
9341,hasta estaba nervioso estaba jugando,es,nervioso jugando
9342,culpa echan jajaja depresion jeje,es,culpa echan jajaja depresion jeje
9350,que triste canción oie,es,triste cancion
9351,comenzo jajaja caminar silencio por alguna razon sentia algo triste esos dias pero queria decirle que podria facilmente preocuparlo,es,comenzo jajaja caminar silencio alguna razon sentia triste dia queria decirle podria facilmente preocuparlo
9352,hasta que ames jajaja mismo todo romance sera tormentosos todo vacio infinito,es,ames jajaja mismo romance serum tormentosos vacio infinito
9356,soy feliz triste,es,feliz triste
9360,planche cambie pinte hermosa hice tiempo sacarme fotos voy jajaja llorar,es,planche cambie pinte hermosa hice tiempo sacarme fotos jajaja llorar
9362,modo triste poco tiempo,es,modo triste tiempo
9363,que son estas ganas llorar imparables,es,ganas llorar imparables
9367,tendria que pensar que esta pasando pero que estoy cansada pensar,es,tendria pensar pasando cansada pensar
9370,triste pero cierto,es,triste cierto
9372,alguien cae parece tan desastroso como persona pues simplemente evitas ves pero que tan triste tiene que ser vida para sacar capturas puras mierdas creo que son ninos que literal tienen mucho tiempo libre,es,alguien parece desastroso persona pues simplemente evitas triste vida sacar capturas puras mierdas creo ninos literal muchooo tiempo libre
9375,ayer remo pues estuvo cansado pero casi duele nada hoy,es,ayer remo pues cansado casi duele
9376,estas son como las mentiras que repites hasta que sea verdad por arte magia deja llorar que llevas mas ano asi,es,mentiras repites verdad arte magia deja llorar llevas
9380,pero este tinto genial quiero ver mas fincas esta pelicula pero casi nadie conoce estoy triste,es,tiktok genial quiero fancams pelicula casi nadie conoce triste
9381,estoy super agotada,es,super agotada
9387,estoy triste porque dijeron que soy vibes perrito ranita queria ser una ranita,es,triste dijeron vibe perrito ranita queria ranita
9388,hoy solo quiero hacerme bollito llorar hasta que mas cuerpo,es,solo quiero hacerme bollito llorar cuerpo
9390,xavi del demuele renueva quito play jajaja llorar manada tarados jugador quiere que transfieran pueden obligar demuele jajaja esperarse cobrando jajaja salir libre meses fichara por club que gana,es,xavi dembele renueva quito play jajaja llorar manada tarados jugador quiere transfieran pueden obligar dembele jajaja esperarse cobrando jajaja salir libre me fichara club gana
9391,anoche puse jajaja ver este video asi normal estaba atacadisima risa luego puse jajaja llorar extrano buen jajaja yugyeom full ass sobbing,es,anoche puse jajaja video normal atacadisima risa luego puse jajaja llorar extrano buen jajaja yugyeom full sob
9392,problema del que hace sentir triste que hago stream por bendito solo puedo recolectar solo veo jajaja todas las aromas que estan esforzando mucho para subir esas vistas unico que queda notify ayudara,es,problema hace sentir triste hago stream bendito solo puedo recoletar solo jajaja toda arohas estan esforzando subir vista unico queda spotify ayudaaa
