,Comentarios
8205,@firethatberns @natachaolympia cansada de viver quero casar!!!
8206,"Tengo un sueño que es ser screamer, pero es tan difícil crecer que me pongo triste y no street, no sé cómo hacerlo, tengo las ganas de intentarlo pero parando me jajaja pensar es imposible."
8207,"happy birthday sami, por más días de pasarela triste 🤙🏻🤙🏻&lt; 3"
8208,"eu fico bem triste vendo mas aptitudes das pessoas, eu tinha um sono ai, meu e mais 1 pessoas, nos sempre conversa sobre realizar juntos esse sono ital ha jajaja pessoas me mando mensage dicendo que vai ir realizar e pronto ainda me mando bem assim ve ai se va quiser ir ”"
8209,@_falling_x Es que estoy muy triste: ((creo que no veré Harry y no quiero estar viva para esa fecha: ((
8210,que triste e gay
8211,O professor dicendo que ta triste pq só seis pessoas fiera jajaja proa... Estou me sentido culpada 😭
8212,NUNCA MAIS VOU SER TRISTE
8213,"que bonitas, me hacen llorar"
8214,@leo_srz @LevyRincon Está desesperado el centro demoníaco
8215,ninguém era triste na época que o DJ Henrique de Ferraz compro uma moto
8216,Es la madrugada del 20 de enero pero no veo tu mirada buscando mi cara de nuevo día triste
8217,@UOLNoticias Muito preocupada. Principalmente porque no vejo seres tomadas medidas p barra o aumento de casos. Li que daqui jajaja días semanas atine o pico. É sufrimento demas para o povo. Desejo que cada caso resulte em votos jajaja menos para jajaja directa e extrema directa!
8218,@EcheniqAnabela Ahora dilo sin llorar
8219,@Bolnitter to muito ansiosa ANITTA VAI CASAR ANITTA IS COMING
8220,"Na terra nós anda triste, as vezes sozin, mas nunca sem fé.🙌🏾🤝🏾🙏🏾"
8221,llorar por un tío es mi pasión
8222,"Me agarro alta crisis y me largue jajaja llorar, la verdad no es nada divertido estar encerrada con ansiedad"
8223,Vraiment trop triste … Pensées pour sa famille et ses broches de
8224,"Tô cansada nn, te acabada"
8225,Para salir de una depresión hay que empezar por cambiar los pensamientos negativos por pensamientos realistas. Y oyes jajaja Hermoso hablar del árbitro... 🥺
8226,Feliz porque ninguna me ha cegado y triste jajaja la vez porque ninguna me atrapa
8227,"As vezes fico volando para as minas cachorras e penso “tadinhas, elas no sabem quem é Harry Styles ” que triste"
8228,@adriana__raquel Vem tu dizer-me! Triste és tu minha linda
8229,@_biyin_ Es triste que sea asi: (
8230,alguém me faz um pix te triste quero um sugar daddy
8231,"Minha prima era jajaja única mina que eu confiaba, que eu tinha do lado pra tudo, mais mudo da água pro vino, super entendo que ela tem enamorado agora, mais mano quem estava nas peores fases da vida dela com ela era eu, sl to triste pra creo mais né vivendo e aprendiendo"
8232,@PedroScooby Tô tío desesperada adm no escuece de mim TEAM SCOOBBBY ADM ME SEGUE TO TENDO UM TRECO AQUIIIIIIII
8233,"Tô cansado de todo mundo, é isso"
8234,@mayarenta o cardio deles do food eh mío triste
8235,cansada de chocar com tinto de rápidas e casamientos etc
8236,"@Jumaestri Eu gradas jajaja Deus no. Eu confeso que estava preocupado com o seu sumiso, dias mejores para voce, forma aí"
8237,Increíble cómo puedo pasar de feliz jajaja triste en un segundo
8238,@_biyin_ sí: ((pero es triste que estés feliz por eso y no puedas ni siquiera disfrutar de tu nominación
8239,"Acabo de soñar con mi "" casi algo imposible "" y quiero llorar."
8240,To triste daí libro que vou no show do hugo e guillermo e passa
8241,@allbrghtplaces eu já te sem energia antes de ir pra academia pensa dedos KKKKKKKKKK já no gusto de fazer comida normalmente pq sou preguiçosa agora pensa cansada
8242,"El verdadero "" sobrevivo por pura ansiedad "" 😷"
8243,@gabbolche DIOS SI ESTOY TRISTE LOS AMO
8244,"Fuerísima estos días por la puta universidad, cansada de estudiar para tener un futuro x jamás pagarán por sanear coreanos so sad"
8245,@alusi0nada @cris11reis Quem seria triste com días chuca na grupa?
8246,Ansiosa
8247,@t_tonatiuh @laadelita3 @RoxxLo3 @aguilarealsoyyo @rociomag3 @TlacatecolotlMX @DrIlIlIlIilIll1 @LFBluePrince @gallagher2120 @StradaVictor @LopSusej @sirenaramos @Regia_Alexandra @JennyMarVit80 @_MistWolf_ @Bere543210 @Adriana613001 @Consuelolvare11 @Chiuhuahua2O2O @Chairo03A @GUSI_ESESOYYO @Meztli1_ @Javier63157298 Nooooo ya estuvo!!!! ahi les caere como acreedor de electra!! pero q sea viernes... pq es cuando tengo el take vacio 😁
8248,"Tô tío ansiosa ela va ela que acorde pense que ha era quinta. Certeza que ciega o natal, mas no ciega sexta feria"
8249,@BetoGranadosR @Kush3312 @Cana__Triste Quiere pelear.
8250,estoy re cansada q ganas de dormir en los brazos de manchan
8251,"Cuando Mia Colucci dijo "" sobrevivo por pura ansiedad "" I really felt that"
8252,"@BeauanyAccesss É q de primeira, jajaja get toma um leve susto, mas dos eu ant percebe e fica triste kkkkkk"
8253,Dès que je vos une photo de Gaspard je claque irrémédiablement sur le petit de sous le tweet … Je suis si triste ce soir … Repose en pais.
8254,Pa la depresión todo el día en cama
8255,"@soylarepera Joya🤣🤣 Es muy de abuela, sí. Te pondrá triste la 1 vez, luego será bonito! de"
8256,@bigcan22 @SEGUEROS Por un momento pensé q era real hasta q entre en Google y me entró la depresión. Ojala ver una Saturn mini.
8257,courant Fiquei triste pq acabo 😞
8258,Me voy jajaja dormir triste y no se ni por qué Hoy solo han pasado cosas bonitas
8259,@Joelma Ansioso❤🔥
8260,"la verdad que cuando Lewis Capaldi en Before You Go dice "" me mata cómo tu mente puede hacerte sentir tan inútil "" lo sentí, me dolió, lloré, me deshidrate de tanto llorar"
8261,me siento tan cansada osmio
8262,"@lauraazuanon kkkkkk jornal sempre mancha de um jeito absurdo!!! Quando fijemos um centro do brecha todo de jornal, uma blusa acabo manchando na hr das fotos e eu dique desesperada, mas no final consegui tirar kkkkk"
8263,MEU DEEEEEEEEEEEEEEEEUUUUUUUUUUUSSSSSSSSSSS jajaja EU VOU INFARTAAAAAAAAAAAAARRRRRRRRR FINALMENTE EU TENHO UM MOTIVO PRA VIVEEEEEEEEEEEEEEERRRRRRRRR jajaja NUNCA FUI TRISTE
8264,Que duro es ver jajaja alguien q amas triste y no saber que hacer... Somos humanos empatía 💔
8265,Só de cogitarem ter adric já dique ansiosa pop
8266,este día ha estado super cansado
8267,Ansiosa que cheque o más de abril logo 😍
8268,q triste sentirse tan solo
8269,de Esta dieta es capaz de combatir la depresión...
8270,Oh que triste..
8271,@JazGerezz Cállate por qué me pongo triste.
8272,"@GustavoArguett Me ha quedado un tic nervioso en el ojo, voy jajaja llamar jajaja la aseguradora 😞"
8273,queria jugar mas no queria jugar sozin ando medio triste
8274,@persefyuna amo tava pensando nisso O VIKTOR VAI SE TRANSFORMAR E VIRAR O FODÃO te mt ansioso espero que n demore muito
8275,Muy triste la noticia sobre la muerte de José Antonio Acevedo. Una pérdida irreparable para la educación CTS y en general para la enseñanza de las ciencias
8276,que triste é jajaja gente no saber se as decirles que amo tendo tío cartas ou erradas
8277,Ay nooo quiero llorar mucho de
8278,Eu oui. Muito triste e preocupante. de
8279,Ok voy jajaja llorar con fine line y bailar con two EN VIVO!!????????
8280,"@DanielVianaR Mirad, los periodistas apesebrados, jajaja ver si aprendes algo de los gabachos (y mira que me caen mal)... jajaja llorar jajaja la lloraría."
8281,"si se sienten inútiles recuerden que lloré de emoción porque harry styles anunció fecha aquí y decía que servían las boletas del 2019 y fui emocionada jajaja decirle jajaja mi papá y resulta que él pidió la devolución hace meses, diosito ya estoy cansada de ser tu mejor guerrera"
8282,Trabalhar num lugar onde toca só pagode e só entra casal é triste de ver
8283,"ai, to tío cansado disso tudo que as vezes me pergunto se isso vale jajaja pena de"
8284,@pamelacortes31 Empezando pañuelos para llorar todo el semestre jajaja
8285,"Sabe pq o público tá curtido o Scooby? Pq ele tá ali pra viver o programa, no tá preocupado em formar algo, se provar, enim, no tem desespero tele"
8286,estoy triste
8287,@grupoeldeber Está vacío desde el jueves pasado
8288,cansada
8289,@talvezIgor tem um zapato velo pra todo sé cansado
8290,Hoje eu queria denguinho... Tô cansada.
8291,"jajaja este paso sera va terminar retirándose del ojo público más pronto de lo que esperamos, yo sinceramente no podría con todo el hate y acoso diario que recibe, que triste que las cosas sean así, se nota la fortaleza mental que lleva."
8292,ninguém era triste na época que o dj enrique de perra compro uma moto
8293,"Me da ansiedad todo lo relacionado con la isla de las tentaciones, hasta el nombre (y todo esto sin verlo)"
8294,"jajaja era rockvato vino com tudo meu deus, ainda no te acreditado 😭 TO MT ANSIOSA PQPPPP"
8295,Tô cansada pai
8296,"¿Nivel de ansiedad, me acabo de zampar los 4 Manjarates que compré por $2.000 en el super recién 😬. En mi defensa (?) hoy no almorcé de"
8297,"O problema, é que assim que cheque na papeleria, na minna cabeza esse cara tava me vigilando, e pues um coro do meu dedo da mío, que sangro muito, mas no senti nada de tanto medo (realmente quando estou ansiosa faro isso), mas enim, retorne bem. Mas um trauma é um trauma."
8298,"@JuanFEspinosaP @MigracionCol @JuanFEspinosaP Buenas tardes director, gracias de antemano jajaja favor de nosotros los Venezolanos, Estoy preocupado mi PEP lo renové el 28/12/2020. #927081702101970 no aparece en el sistema (sacado legalmente) y mi Rumv 6158344 no aparece aprobado y lo necesito urgente!"
8299,"Los partidos del Madrid o Barsa en sus propios estadios parecen muertos, escuchar el himno es un chiste. La afición del Atleti o Athletic SI que viaja y no les hace falta megafonía para cantar su himno. Que triste"
8300,Ya hablando encerio si me dieron ganas de llorar
8301,@sterella_love0 Que triste...
8302,"me acaban de dar la noticia más triste de toda mi vida, lloré más que nunca, se que no es el fin del mundo pero de verdad necesito un abrazo muy fuerte"
8303,Re cansado de trabajar jajaja x fin me voy jajaja casita de
8304,Quiero llorar y no puedo
8305,"Eu te muito cansada, essa semana foi intensa"
8306,"Como van jajaja sacar la prueba de ingreso, quiero llorar"
8307,"Ni un solo árbol jajaja la vista, ni uno y ese pobre animal muriéndose de sed; esto es demasiado triste"
8308,ansiosa pra isso aqui
8309,m he cansado d no tener pasión por nada broder
8310,"@gabigol ai para, vas me deidad ansiosa"
8311,"note com um bag, fui colocar musica triste e veo logo sirens do pearl jam ok 🔪"
8312,@faxinaboa Ahhhhh q massa! Já estou ansioso pela estrena
8313,¿Cómo no te va jajaja gustar Avatar La Leyenda de Aang? Qué vida triste.
8314,Que triste me siento hoy Dios
8315,"@SerieAlemMar Devido ao ofensivo número de não-lidos na minha estante (física e virtual), prometi comprar somete 3 títulos esse ano. "" Primeiro Amanhecer "" é um deles. Aguardando ansiosa!"
8316,Puta e triste
8317,""" El cielo está cansado ya de ver la lluvia caer!!! Y cada día que pasa es uno más parecido jajaja ayer!! No encuentro forma alguna de olvidarte Porque seguir amándote es inevitable "" #TatatiuEnConvoy"
8318,Que triste sería ser como quieren que seas
8319,Tô triste no salem cm hoje
8320,ansiosa pra amante #teamjade
8321,@Yuu1_WR Eu te ansiosa pelo próximo episódio.. de
8322,minha irma linda me de jajaja senda do payperview nunca fui triste
8323,Marica me la he pasado llorando todo el día porque estaba maluco de la depresión y ahora me dicen que mi abuelita tiene cáncer y me siento tan impotente porque no quiero verla sufrir
8324,Ansiosa pro def. vi e meu baby chegar #Def_LOVE_D6
8325,@AtsushiLight Écoute pop smoke ca ira mieux un moment pues tu sera triste car tu te rappellera qu'il est mort...
8326,"Nem consigo explicar o quanto que eu te triste, va minha família assim acaba comigo"
8327,"Lo dudé un tiempo, lo anuncié posteriormente, ya lo tengo claro. Ciudadanos es un cascaron vacio, vacio de ideología, de proyecto y de futuro. Miren en la cuenta bancaria de sus matarifes, que lo dirigen, jajaja ver donde se han llevado todo."
8328,@wanessaw0lf Posta no y vela te ansioso pra ver tu jugando mas no tenho tempo tras lives; -;
8329,"Lo último que hizo (hace unos minutos masomenos) fue pisarle con una silla la cola jajaja mi perro, y yo le grite jajaja ella, que deje de hacer eso y que esta mal porque el perro la va jajaja morder y va jajaja llorar. Que paso después mi vieja como buena madre me pego un sopapo por gritarle jajaja F"
8330,Cansada de ter febre do nada
8331,SIFUDEEE ia pegar o tokio e o anemia mas aumento 5 conto q triste
8332,@inakkis no veo q niegas q te pongo nervioso 😉
8333,"@wasabiMODE @RonaldoRyan15 @Miguel91326274 @Orttega88 @88Landin @ESPNBrasil Triste fato, infelizmente há esta polarizado, algo q nos dias actuais no era nem pra se contar."
8334,me voy jajaja contar las uñas para no llorar más
8335,@onyxtete Volta pro atacar que estava quando eu conoci. Vai ser bem triste quando acontecer.
8336,"Não te conseguido ir malar esse horario, te tío triste 😭"
8337,Nunca fui uma pessoas tío cansada como eu sou ultimamente
8338,"Es una costumbre ya que me cancelen los planes jajaja última hora, triste realidad 🥺"
8339,"@EIX02ISA Eu vou falar do meu segundo momento o primeiro é muito triste O dia que eu fin xixi na ropa na escola, eu devia estar no enseno médio, jesse mesmo dia meus short rasgos e eu estava com uma calcinar ridícula"
8340,Jade vai entrar amante oh to ansiosa p ver kakete
8341,Que agotada estoy.
8342,@Axel0p7 estou triste nem consigo falar directo
8343,@Brisatossen1 Deja llorar payasa
8344,Ves los precios de las zapatillas y te dan unas ganas de llorar
8345,aparte es cansado es muy cansado hasta este punto
8346,@DantasWla @sissi17289700 Eu também. Ansiosa pra chegar 11/02 de.
8347,@BOCAvsELMUNDO Todavia van jajaja llorar jajaja.. tan mal les hizo el gol del Pitty??
8348,@Thiagooolz @Copinha sport Preocupado mmm Vcs aliviara! 👃👃👃
8349,Cansada
8350,preocupada: (
8351,man esto ya me está preocupado hace unos capítulos pero ahora se va por el tema celos y ne da miedo
8352,"@venezuelataurin Que triste, los doritos van jajaja hacer un minuto de silencio!!!!!!"
8353,Meu aquí finalmente ciego pop nunca fui triste
8354,APAGA EU TO TRISTE
8355,@Xav1erVnlzaL28 @OsoCojon @ElRuso4k 😭😭😭😭😭 has puesto todos los versos y formas de conjugar llorar creo que deberia cambiar
8356,@kangsungpiu Es DONG JUN triste de
8357,"Tô cansada, no fisicamente, mas psicologicamente"
8358,me puse triste ay adios ando tan insoportable
8359,La triste realidad nacional ante el mundo
8360,Ansioso p ver meu mano Luciano punhetinha em algo na festa de hoje
8361,to sentido q meu irme me odia to mt triste
8362,"@sorfifi1 Ya se! No sabes si reír, llorar o decirle tooooodas las veces que estuvo vomitando ” todas sus historias y siendo drama queen …"
8363,@auronkrchz jajaja estaba más nerviosa yo jajaja
8364,"@no_soy_Baphy_si Hazlo, si vamos jajaja llorar pues lloremos cómo se debe"
8365,jajaja me cayó el agua hervida de la comida en la pierna estoy jajaja nada de llorar de lo que arde
